#cache,OPT,LRU,FIFO,RAND
0,0.000000,0.000000,0.000000,0.000000
5,8.150000,0.000000,0.000000,0.000000
10,18.299999,0.000000,0.000000,0.530000
15,28.450001,0.000000,0.000000,3.850000
20,38.599998,0.000000,0.000000,10.350000
25,48.750000,0.000000,0.000000,19.980000
30,58.900002,0.000000,0.000000,32.009998
35,69.050003,0.000000,0.000000,45.490002
40,79.199997,0.000000,0.000000,62.240002
45,89.349998,0.000000,0.000000,80.339996
50,99.500000,99.500000,99.500000,99.500000
55,99.500000,99.500000,99.500000,99.500000
60,99.500000,99.500000,99.500000,99.500000
65,99.500000,99.500000,99.500000,99.500000
70,99.500000,99.500000,99.500000,99.500000
75,99.500000,99.500000,99.500000,99.500000
80,99.500000,99.500000,99.500000,99.500000
85,99.500000,99.500000,99.500000,99.500000
90,99.500000,99.500000,99.500000,99.500000
95,99.500000,99.500000,99.500000,99.500000
100,99.500000,99.500000,99.500000,99.500000
